time/ s,30.0
IS_retention_time/ min,IS_integral,IS_peak start/ min,IS_peak end/ min
6.721416666666666,2951.325412158056,6.6964999999999995,6.744666666666666
Retention_time/ min,integral,peak start/ min,peak end/ min
7.8181666666666665,7402.015557730219,7.778291666666666,7.843083333333333
8.000958333333333,1633.627215995257,7.977666666666666,8.027541666666666
8.097333333333333,1926.145241312803,8.069083333333333,8.125583333333333
10.3955,2471.036279178454,10.350624999999999,10.432041666666667
10.684625,8998.123947261316,10.628124999999999,10.721166666666667
10.854125,1440.6255860880945,10.815916666666665,10.889
13.251999999999999,5211.913522073777,13.190500000000002,13.255291666666666
13.260291666666665,4713.993956770619,13.251999999999999,13.303500000000001
13.572708333333333,4469.1694530078785,13.511208333333332,13.575999999999999
13.577666666666666,3740.1863857595613,13.572708333333333,13.625874999999999
